"id","answer"
"1","<paragraph>Ceci est mon texte</paragraph>"
"2","<p>Ceci est mon texte</p>"
"3","<p value=""Ceci est mon texte"">"
"4","<body>Ceci est mon texte</body>"
"6","Importer le fichier dans une balise  <css>"
"7","Créer un fichier ayant l'extension  .css"
"8","Utiliser la balise  <link>  pour importer le fichier"
"9","Écrire directement du style dans la balise  <css>
"
"10","Le header sert à indiquer l'en-tête de la page au navigateur"
"11","On trouve souvent les liens vers les réseaux sociaux et mentions légales dans le footer"
"12","L'apparence visuelle du site dépend beaucoup de la structure des balises  <header>  ,  <main>  et  <footer>"
"13","<head>  et  <header>  sont deux choses différentes"
"14","Le contenu principal de la page se trouve dans la balise  <main>"
"15","Une instance définit la forme générale d’un objet à représenter dans une BDD. Cette instance peut donner naissance à plusieurs classes formées à partir de cette instance."
"16","Si les classeChatetChienhéritent de la classeAnimal, alors on peut dire que ces 2 classes sont des instances deAnimal."
"17","on enregistre le labrador de Mme Dupont dans une base de données dont le modèle conceptuel contient une classeChien"
"18","Nombre entier supérieur ou égal à 0"
"19","Nombre entier"
"20","text"
"21","main"
"22","span"
"23","p"
"24","a"
"25","flex-direction"
"26","align-items"
"27","order"
"28","flex"
"29","Les unités  fr  fonctionnent exactement de la même manière que les pourcentages"
"30","Les  gap  permettent d'espacer les éléments entre eux dans les CSS Grids"
"31","On définit les colonnes avec  grid-template-rows"
"32","Il est impossible de définir le point de départ d'un élément spécifique dans une  grid"
"33","Transformer un élément  inline  en élément  block"
"34","Cacher entièrement un élément"
"35","Profiter des avantages de l'  inline  et de ceux des  block"
"36","Superposer des éléments"
"37","type=""email"""
"38","type=""telephone"""
"39","type=""date"""
"40","type=""URL"""
